,p
7_5,"Besides, small domestic market, difficult terrain, high transportation costs, lack of skilled human resources and access to finance remain major challenges to sustainable economic growth."
7_4,The economy continues to be driven by hydropower and construction sectors with limited potential for employment creation
7_7,The EDP targets high value and low volume green services and products that have minimal impact on environment
7_6,"In an effort to diversify the economy and address the challenges, the Economic Development Policy (EDP) was adopted in 2010"
7_1,This is a critical sector for sustainable economic growth and poverty reduction
7_0,"Trade, Industries & Mines Sector"
7_3,"However, the structural change has not translated into productive employment opportunities, vibrant private sector growth and economic diversification"
7_2,The high priority accorded to the sector over the last five decades has resulted in significant structural changes in the economy with secondary and tertiary sectors taking over the primary sector and annual growth rates averaging around 8 percent per annum over the last decade
1_93,The planning and implementation of such an education strategy certainly requires a longer-term perspective of more than five years
1_92,This calls for a sustained systemic strategy rather than disparate interventions to address challenges in isolation
1_91,"Any strategy to strengthen our education system and institutions to the level required to bring about the transformation in our socio-economic development process must ensure that we take a comprehensive stock of the state of our entire education system (spanning school, TVET, higher education, and continuing education) as an integrated whole rather than disparate parts (including regular assessment and diagnostics of student performance and identify the root causes of the mismatch between educational outcomes and our developmental needs); establish clear quality criteria in terms of the desired outcomes that are responsive to the changing expectations of students and are regularly benchmarked to global standards (such as student outcomes and employment, instructional methods, and organizational dynamism); understand the capacity gaps in achieving those criteria; provide a collaborative and highly competent institutional support system that focuses on helping students, teachers and school leaders develop research based innovative strategies of implementation to achieve the desired outcomes and; disseminate those evidence-based effective strategies throughout the system"
1_90,5.1.4  Strategies
1_97,Clarifying goals and raising performance standards for schools through shared national education goals that are aligned with the national socio-economic goals; learning standards and quality teaching processes;
1_96,"Some of the elements of the strategy for improved outcomes of the education sector, relevant to the school, TVET and tertiary education systems, include:"
1_95,"Most importantly, the strategy must be supported with adequate and predictable resources and the necessary institutional and policy support systems."
1_94,The experience of top performing education systems like in Finland and Singapore suggest a gestation of at least 20 years
18_6,"Further, the Parliament passed the Local Government Act 2009, which translated the important constitutional principle of decentralized governance into law and mandated the formation of local governments for the development, management and administration of areas under their jurisdiction"
14_14,Its main focus is to equip the trainees with vocational skills to enhance their opportunities for gainful employment
1_99,Attracting the best talent into teaching by recruiting the most capable candidates into teaching and preparing them for effective classroom practice;
1_98,Curriculum improvements to deliver educational goals with greater involvement of principals and teachers in curriculum design and communication and training on improved curriculum;
7_59,"In 201144, there were 22,776 industrial firms, of which 133 were large, 220 medium, 2,649 small and 19,774 cottage industries"
7_58,"Industries - Industries is dominated by few major manufacturing firms based on mineral and metal and a large number of smaller firms dealing in handicrafts, food processing, construction, wood and paper processing"
18_0,Good Governance
14_15,"It also aims to build their self-esteem and self-reliance, thereby making them more independent, confident and contributing members of thesociety.   Ability Bhutan Society, established in 2011 as a public benefit organization (PBO)"
6_38,"Among the 20 Dzongkhags, Paro, Thimphu, Punakha, Wangduephodrang and Bumthang are the major beneficiaries of tourism"
6_39,"Lack of tourist infrastructure facilities/amenities, travel time and limited tourism products are some of the reasons for other Dzongkhags not benefitting much from the sector"
17_55,"The ambient air and water quality, in general, still ranges from good to excellent but there are some pockets of urban and industrial areas where air and water quality is deteriorating due to vehicular and industrial pollution, construction activities, and unsanitary waste disposal"
17_41,"The water quality assessment of Wangchhu which falls within the limits of the City periphery was conducted during the period March 5-9, 2012"
10_8,5.10.1 Current Situation
6_30,"It is evident from the above that the tourism sector has made much progress and is one of the key economic sectors contributing to economic growth, employment and revenues"
6_31,"However, constraints in terms of accessibility, regional spread, seasonality and product diversification are still issues of concern."
6_32,"With just one international airport at Paro and with only Druk Air, the national carrier with a fleet of three Airbus A319 and one ATR 42-500, flying to limited destinations in the region, traveling to Bhutan is a challenge to many visitors"
6_33,The number of visitors to Bhutan currently is determined by Druk Air's capacity
6_34,"In 2012, about 88 percent of the visitors used air as preferred mode of travel to Bhutan"
6_35,"Since October 2013, a private airline, Bhutan Airlines owned by of Tashi Air Private Limited, started operating between Paro and Bangkok sector with one Airbus 320."
6_36,"The other major challenge faced is the shortage of manpower in the form of trained guides, skilled workers in hospitality sector, qualified and experienced professionals in product development, destination marketing and other tourism-related services"
6_37,The sector is still largely dependent on international tour operators for arrivals.
16_4,"The traditional beliefs and customs stress respect for all sentient beings and encourage values such as tolerance, compassion, respect, and generosity."
17_39,"However, there are localized water pollution problems due to frequent unsanitary conditions along banks of streams and rivers (see box below)."
17_38,"The natural water quality can be characterized as highly oxygenated, slightly alkaline with low conductivity and no recorded salinities"
17_44,"Khasadrapchhu, considering physical, chemical, microbiological and biological characteristics of the river"
16_5,"The Eleventh Plan also recognizes culture as an ""evolving dynamic force"" and the need ""to strengthen and facilitate the continued evolution of traditional values and institutions that are sustainable as a progressive society57"""
17_33,"Amochhu (Toorsa), Wangchhu (Raidak), Punatsangchhu (Sunkosh) and Drangmechhu (Manas)"
7_154,Programme details are presented in Eleventh Plan Volume II document.
17_31,Water environment - Bhutan's water resources are mainly in the form of rivers
17_30,"PM 10 concentration in most other places will be lower than Thimphu because of smaller population, fewer vehicles and less industrial activities."
7_151,"The Eleventh Plan will focus on strengthening this initiative, including through the strengthening of human and institutional capacity to undertake studies and risk assessments"
7_150,An earthquake monitoring network has already been initiated
7_153,The validation of potentially dangerous lakes in the northern frontiers of Bhutan Himalayas will be carried out annually.
7_152,The geophysical investigation of potential groundwater reserves will be carried out
2_92,ii.Construction of 40 bedded Samtse Hospital;
2_93,iii.Construction of 40 bedded Thimphu Hospital;
2_90,Medical Services - Some of the major activities include:
2_91,i.Construction of 150 bedded Gelephu Hospital;
2_96,vi.Construction of Public Health Laboratory;
2_97,vii.Construction of Deothang Hospital;
2_94,iv.Construction of 40 bedded Detoxification Centre;
2_95,v.Construction of GMP Production Facility;
2_98,viii.Construction of Tsirang Hospital.Traditional Medicine Services - The main focus will be on up-scaling the production of indigenous medicines through automation of production processes to cater to both the domestic and international demands of traditional medicines.
2_99,"Medicines, Technologies & Logistics -Through the program all health facilities in the country will be well equipped with medical equipments and essential drugs to prevent shortages of such items on real time basis."
5_59,"Infrastructure facilities such as irrigation, storage and communication to facilitate efficient and effective production, marketing and distribution of RNR products will be prioritized"
5_58,Access to finance will be facilitated through priority lending by financial institution to the RNR sector
17_108,Sustainable Management of Forest Landscapes and Conservation of Biodiversity
17_109,Integrated watershed management and
5_53,"The Dzongkhags identified to produce prioritized products will be provided necessary support, both technical and resources, by the Ministry of Agriculture and Forests through central RNR programmes."
5_52,"At national level, the focus will be on fewer prioritized products that will enhance food self sufficiency and also contribute to import substitution and export promotion"
5_51,"Targeted and commodity focused approach: One Gewog One Product, based on commercial viability of such product and the potential of different Gewogs, will be one of the strategies to achieve the objective of food and nutrition security"
5_50,"To facilitate this transformation, focused initiatives will be undertaken as follows:"
5_57,Enabling environment: A policy and legal framework that incentivizes RNR production and promotes private sector investment will be implemented
5_56,"To provide both economies of scale and fair terms of trade, the evolving farmers' organizations and cooperatives will be supported technically and financially, notably through preferential access to loans from financial institutions, extension support services and other forms of support."
5_55,"This would require introduction and application of technologies that improves productivity of crop, forest and livestock"
5_54,Transition from subsistence to commercial agriculture: Investment in the RNR sector will be aimed at ensuring gradual transition from subsistence to commercial production
1_26,5.1.1Current Situation
1_27,"The Ministry of Education's Annual Education Statistics 2013 reports a net primary enrollment ratio (PP to VI) of 96 percent, net basic education enrollment ratio (PP-X) of 94 percent and adult literacy of 55 percent"
1_24,"The Monastic body reports that there are 7,240 monastic novices in 388 monastic schools and 3 nunneries across Bhutan"
1_25,"This enrolment is significantly lower than the one reported for 2006, which was 9287."
1_22,"In addition, the Royal Institute of Management provides post-graduate diploma and diploma programmes ranging from 1 to 2 years in management and development, finance and business, ICT, and law"
1_23,It recently introduced post graduate degree courses in public administration and management.
1_20,"The current total intake of RUB is about 9,000 students"
1_21,"Under-graduate degree and diploma programmes include civil, mechanical, computer and electrical engineering, natural resources, language and cultural studies, education, traditional medicine, nursing and health science, business and commerce, sciences, and liberal arts studies"
7_120,Some of the key programmes include:
7_121,Export Promotion and Market Access: The programme aims to strategically enhance our export capacity and leverage our comparative advantages to build our competitiveness in the international market through export promotion and marketing and facilitation of exports through integration into the regional and international trading environment.
7_122,"Strengthening Trade Policy and Regulatory Framework: The emphasis will be on strengthening the policy and regulatory framework to improve and simplify the procedures for business start-ups, prevent business malpractices, promote"
7_123,fair competition in the market and promote international best practices in the business environment
7_124,The drafting of the Consumers' Protection Act and enactment of the Trade Development Act and the Competition Policy/Act are key policy and regulatory instruments that will be pursued
7_125,"Further, the Dechencholing fuel depot will be relocated to Thinchupangkha under Paro Dzongkhag and Fuel quality will be upgraded to Euro IV."
1_28,"Evidently, with high priority accorded to the education sector, Bhutan is well on track to achieve the MDGs"
1_29,"In terms of the MDGs, the targets for gross primary enrolment ratios, proportion of pupils starting grade 1 who reach grade 5, and the ratio of girls to boys in primary schools and secondary schools have already been achieved while the other targets are well on track to be achieved."
16_8,Guidelines for conservation of heritage sites by all conservation projects have been developed and are under implementation.
9_52,Programme details are presented in Eleventh Plan Volume II document.
9_51,"Promotion and Development of Media - the main focus will be introducing media and information literacy curriculum in schools, and promotion of contemporary arts, creative media and films and strengthening policy and legal instruments."
9_50,"ICT for good governance and socio economic development - the focus will be on consolidating the e-governance projects, digital migration, establishing a whole of government data centre, and further improving the nationwide intranet system (TWAN & DLANs) for smooth and seamless functioning of many of our e-government services."
13_46,"While the department has urban planners, urban designers, architects, infrastructure planner and engineers, the numbers are not adequate"
16_58,"iv)Promotion and development of craft industry, DCSI, MoEA"
16_59,"v)Contemporary performing arts, art and music promoted to complement and enhance Bhutanese identity and culture, DoIM, MoIC"
9_49,5.9.5  Key Programmes
16_53,Conservation of Trashigang Dzong Conservation of Gasa Dzong
16_50,Construction of Pemagatshel Dzong
16_51,Construction of Sarpang Dzong
16_56,Expansion of Tango Buddhist College (Spillover)
16_57,"Development of Dzongkha Language, Dzongkha Development Commission"
16_54,Renovation of Paro Ta Dzong
16_55,Renovation of Phajoding Goenpa
16_9,Institutionalization of archaeology has been initiated with the establishment of an archaeology unit under the Ministry of Home & Cultural Affairs.
13_47,"Moreover, lack of qualified and experienced GIS professionals, municipal engineers, urban economists, sociologists, planning lawyers, investment planners and environmentalists limit the sector to address complex urban issues."
18_36,"The rapid growth of civil service, which averaged 4 percent per annum during the last five years, and high costs, amounting to about 45 percent of the total recurrent expenditures, is a concern"
4_8,The overall unemployment rates increased from 1.4 percent in 1998 to 4.2 percent in 2008 and have since then declined to 2.1 percent in 2012
4_9,"Similarly at disaggregated levels, unemployment has decreased by area of residence (rural/ urban), by gender and by youth in 2012."
18_37,"The turn-around time for many of the public services to its citizens, businesses and intra government services remain high and inefficient"
4_2,One of the objectives of the Economic Development Policy 2010 is to achieve full employment by 2020
4_3,Full employment is defined as employment of 97.5 percent or unemployment rate of 2.5 percent.
4_0,Employment
4_1,The Labour and Employment Act 2007 govern the employment and working conditions in Bhutan
4_6,Labour Force Surveys are conducted by the Ministry of Labour and Human Resources on an annual basis.
4_7,5.4.1  Current Situation
4_4,"Employment is defined as ""if a person has performed some paid work in cash or in kind, during the reference period for at least one hour or the person has a job or business formally attached but temporarily absent from the work and going to resume the work"""
4_5,"""Reference period refers to the week preceding the date of the survey interview""35"
7_43,"1,223.70 million respectively in 2011."
18_35,"Public Service Management - While a number of initiatives has been implemented in the past to improve public service management, efficiency, performance and public service delivery remains a challenge"
13_61,Housing: NHDC will explore new technologies and design innovation to reduce the cost of construction while ensuring high quality
18_32,"To strengthen the process of decentralization, administrative and fiscal devolution of authority alone is not sufficient but of equal importance is to build the capacity of those at the grassroots to plan, implement and monitor development activities"
7_138,4
14_21,The Ministry of Education has established Changangkha Lower Secondary School in 2001 as an integrated school providing special needs education and education for the hearing impaired was introduced in Drukgyel Lower Secondary School in 2003
17_88,In some of the Dzongkhags farmers have stopped cultivating due to the loss of crops to wildlife
18_33,Human resource strengthening at local levels both in terms of numbers and technical skills will be critical
18_30,"The concern with this is if the citizens stop participating in the political process, for example not voting, then that system loses legitimacy since it is hard for it to claim that it has a political mandate of the majority of the people"
15_8,"The federations representing various sports are athletics, archery, badminton, basketball, boxing, body building and weight lifting, cricket, football, golf, indigenous games and sports, table tennis, taekwondo, tennis, shooting and volleyball."
18_31,"Therefore, education and awareness and enhancing participation particularly of youth, women and disadvantaged groups are vital."
16_19,"Craft Bazaar, with 80 stalls, was established in Thimphu in 2011 to showcase a wide range of authentic Bhutanese arts and crafts"
14_20,"Subsequently, a number of institutions/facilities have been created for differently-abled person"
16_14,Bhutanese film and music industry is gaining increasing popularity and have completely edged out foreign films from local cinema halls
13_27,Yenlag Throm should have a resident population of more than 1500 and area not less than 50 acres.
7_132,1
6_45,5.6.5  Key Programmes.
16_15,Since the first film
10_25,"Tashi Air Private Limited, a private airline which started domestic services with one Pilatus PC-12, has since October 2013 started operating between Paro and Bangkok with one Airbus A320."
8_47,"Accelerated Hydropower Generation & Transmission Network Strengthening - Major activities include new system infrastructures and system reinforcements to ensure reliability and security of domestic power supply; pre-feasibility studies and reconnaissance studies for new hydropower projects, implementation of pre-construction activities and construction of hydropower projects; establishment of a Power Training Institute to address manpower deployment in Hydropower projects; and construction of new transmission lines and associated substations by BPC."
10_27,5.10.2 Key Challenges
10_26,"Air cargo transported was 620,000 tons in 2012."
10_21,"Similarly, ASA with South East Asian nations such as South Korea, Vietnam, Laos, Malaysia, Cambodia and Hong-Kong are being explored."
10_20,"Signing of ASA with the remaining SAARC countries (Pakistan, Afghanistan and Sri Lanka) have also been initiated with a larger plan to air-link all SAARC capitals"
10_23,"However, the services to Yonphula has been suspended till 2014 to complete major development works and only chartered services are available to Gelephu."
8_46,5.8.5  Key Programmes
16_11,A Bill on Archives of Bhutan is being formulated to strengthen the national archives system.
10_29,Over the last five years the number of vehicles has almost doubled with 90 percent of vehicles registered under Thimphu and Phuentsholing regions
8_45,Renewable energy (RE) master-plan will be developed to map RE potential and sites and feasibility studies will be conducted.
6_44,"Under the programme, selected initiatives that contribute to achieving higher yields per tourist as well as double the arrivals but spread throughout the country and throughout the calendar year will be defined and implementation of these initiatives closely monitored."
11_7,"For farm roads technical specification, guidelines and manuals are provided by the Ministry of Agriculture and Forest."
8_44,"Development of Renewable Energy - To enhance energy security and reduce dependency on fossil fuel, other forms of alternate renewable energy will be promoted"
13_39,"In Thimphu, three-fifths of households rent and one-fifth live in rent-free dwellings; 80 percent of the rent-paying households live in dwellings owned by private individuals; and 18 percent live in housing owned by the government and public corporations."
11_6,"Similarly, for roads in the Dzongkhag and Gewog, the Dzongkhag administration is responsible for the administration and management of all roads constructed or maintained by it, including access roads"
13_37,"Among the Dzongkhags, Pemagatshel had the highest proportion of households that own their dwellings (91 percent) and Thimphu the lowest with 19 percent"
8_43,"To prepare for the optimum utilization of firm power that would be available and to plan for clean green industrial development, energy allocation policy will be formulated."
13_35,"The private sector is the largest provider of dwellings for rent, especially in the urban areas, where its rentals comprise 43 percent of dwellings"
13_34,62 percent of households in urban areas rented their dwellings
13_33,"It also indicates that about 60 percent of the household owned their own dwellings, out of which 83 percent households were in rural areas and 17 percent in urban areas"
11_5,"For roads in a Thromde, the Thromde Administration is responsible for the administration and management of all roads, constructed or maintained by it, including any access roads"
13_31,"Currently, there are 1,122 housing units across the country for rental and 32 apartments in Changjiji allotted under homeownership programme to low income groups."
8_42,"Development of sustainable energy allocation policy - With the commissioning of new hydropower projects in the next few years, Bhutan's firm power will be enhanced substantially"
7_19,Trade with rest of the world accounted for 16 percent of exports and 27 percent of imports
7_18,The balance of trade with India was in surplus till 2009 and thereafter it ran into deficit with imports outpacing exports with the commencement of three hydro-power projects in 2010-11.
11_4,The Department of Roads is the national authority responsible for all roads in the country
8_41,Other issues such as the benefits of separating transmission and distribution utilities and feasibility of establishing a Power Trading Company will be explored.
14_22,"In addition, there are six other schools catering to the special needs education"
9_43,5.9.3  Sector Key Result Areas
7_11,Trade: India is Bhutan's largest trading partner accounting for 84 percent of exports and about 73 percent of imports
7_10,5.7.1  Current Situation
7_13,35.2 billion while exports to India amounted to Nu
7_12,"In 2011, Bhutan's imports from India were worth Nu"
7_15,8.8 billion42 (10 percent of GDP)
7_14,"26.3 billion, leading to a trade deficit of Nu"
7_17,"10.4 billion) while 51 percent of imports from India comprises of mineral fuel, base metal and vehicles"
7_16,Electricity export makes up 38 percent of the total exports to India (Nu
10_50,The retention of professionals will be addressed through a comprehensive review of civil service system and conflicting functions will be addressed by exploring ways to ensure greater independence and autonomy of the Department of Civil Aviation
7_42,4.67 million and Nu
10_52,"Alternate modes of transport - To ease the pressure on air and surface transport, alternate modes of transporting passengers and goods will be explored such as waterway, ropeway, cable cars and railway links"
10_53,"Furthermore, the government is already exploring piloting of electric powered taxis to address environmental issues and reduce dependency on fossil fuel."
10_54,5.10.5 Key Programmes
10_55,"Surface Transport Development - the programme will focus on the implementation of Bhutan Transport Strategies 2040, and in particular address the issues of traffic congestion in the major Thromdes by setting up the Bus Rapid Transport systems in Thimphu and Phuentsholing"
10_56,"In addition, alternate modes of transport will also be explored for the purpose of controlling the carbon emission."
9_45,"While implementation of e-Gov Master Plan, capacity building and ICT infrastructure expansion will be the main strategy for ICT sector, the following will be pursued to address the issues and challenges confronting the ICT sector:"
10_58,Promotion of electric vehicles will be pursued to address environmental issues and reduce dependency on fossil fuel.
10_59,Programme details are presented in Eleventh Plan Volume II document.
11_0,Roads & Bridges Sector
9_46,Review of telecommunication tariff to ensure affordability and competitiveness.
9_47,"Improve international redundancy by exploring alternate link through Cox Bazar, Bangladesh."
1_79,There is a widely shared view on the need for the TVET institutes and colleges of RUB to be consolidated along a single-campus and multi-disciplinary model if we are to ensure relevance and quality in our TVET and tertiary education system.
1_78,"According to REC Report 2008, an independent assessment of the TVET system indicates that the content standards of programmes are not reflective of industry standards or requirements; students are inadequately trained upon graduation; the training institutes are under-resourced and faculty under-qualified; and there is a significant ""education to employment gap"" as students do not necessarily follow into the trade for which they have been trained however inadequately."
1_75,The TVET and tertiary education systems are also faced with a similar set of challenges on the issue of relevance and quality of education
1_74,"However, the proposed teacher incentives remains unimplemented due to resource constraints."
1_77,"If we are to close the ""education to employment"" gap, it is vital to ensure that the TVET and tertiary education institutes have the intake capacity to provide relevant and quality post-secondary education and training to ensure their employability."
1_76,"Furthermore, current projections indicate that about 60,000 students would be completing classes 10 and 12 and entering the labour market over the Eleventh Plan"
1_71,"Teaching, today, is the least preferred profession among graduates, and attracting high performing graduates to join teaching is increasingly a major challenge"
1_70,"However, our education system continues to be constrained by an acute shortage of teachers and limited capacities"
1_73,"During the Tenth Plan, initiatives to strengthen human resource policy to provide better career progression for teachers were implemented"
1_72,"Some of the reasons for this include lack of incentives, both financial and non-financial incentives, perceived poor career progression and limitations in the recruitment process"
9_42,"Creating a talent pool and strengthening ICT human resource management through parenting, clear career advancement opportunities and effective deployment and utilization of ICT personnel will be a priority."
12_15,The sector has come a long way with establishment of various agencies and introduction of many new initiatives towards making the sector more efficient and effective
8_48,"Enhancing Hydrological Network for Water Resources Assessment and Improvement of Flood Information/GLOF Early Warning System - Strengthening of hydrological information and establishing early warning networks and stations to reduce the risks of climate change induced disasters like floods, landslide, and droughts will be the focus."
2_103,Programme details are presented in Eleventh Plan Volume II document.
2_102,Diagnostic & Curative Services -
2_101,"Institutional Strengthening & Monitoring - The priority will be on strengthening human resources - doctors, nurses and technicians and improving the health data/record management by strengthening the Health Information and Management system."
2_100,"Public Health Services - The programme will focus on preventive, promotive and rehabilitative programs."
16_48,"Preservation and promotion of culture, DoC, MoHCA -"
17_82,"However, the level of revenue it contributes depends on hydrological factors"
12_57,Programme details are presented in Eleventh Plan Volume II document.
7_40,Bhutan and Thailand signed the Trade and Economic Cooperation agreement in November 2013
2_63,Global health experts recommend for a country like Bhutan allocation of around 5 percent of the GDP and about 8 percent of the total government budget on health to ensure that quality health care services are provided.
2_62,Currently the government budget outlay for health is around 6 percent and total health expenditure as percent of GDP is 3.6 percent
2_61,Sustainable Healthcare Financing: The constitution mandates the state to provide free health care ensuring the global commitment to universal health coverage is achieved
2_60,"There is a need to put in coordinated efforts among Health, Agriculture and Education and Economic Sectors to improve the nutritional status."
2_67,"Strengthening service delivery: In line with the policy of decentralization, the local government shall take more responsibility for management and delivery of health services at the local level"
2_66,There is also a need to promote good governance so that wastage is minimized and cost efficient and effective health services are promoted. 5.2.4  Strategies
2_65,The endowment fund of the BHTF stands at around USD 24 million.
2_64,The Bhutan Health Trust Fund is one innovative mechanism set up by the government with support of its partners to ensure sustainable supply of essential drugs
7_64,Many of the major industries are located in the South due to proximity to the Indian market both for raw material and exports
7_65,"The industries in the north are mostly small and medium sized cottage industries in agro-processing, wood-based, cultural industries (textile and handicrafts) and handmade paper."
2_69,The Ministry will continue to focus on improving access and delivery of quality health care services by strengthening both institutional and human capacity with emphasis on decentralization
2_68,"The centre shall focus more on policy directions, service standard development, quality assurance, selection of appropriate medical technologies and procedures, ensuring un-interrupted medical supplies and health personnel recruitment"
5_63,A reliable institutional mechanism will be established to effectively cater to the needs of the interested private entities
7_61,"Among the Dzongkhags, Thimphu Dzongkhag had the highest number of industrial firms representing about 35 percent (7,973) followed by Chukha with 14 percent (3,094)"
7_62,Gasa had the least with 76 cottage industries followed by Lhuentshe with 198.
7_63,"The major industries are located at Samtse (cement, fruit processing and liquor), Pemagatshel (gypsum mining), Gelephu (wood processing and liquor), Thimphu (agro and wood processing) and Phuentsholing (calcium carbide, ferrosilicon, plaster of paris, steel, beverages, bottling plant)"
14_18,"Enabling Environment - The various articles of the Constitution, in particular Article7 and 9, protect the rights of an individual, women and children and mandatesthe State to take appropriate measures to eliminate all form of discrimination andexploitation."
13_56,5.13.3 Sector Key Result Areas
14_37,53.9 percent lived in urban areas.
6_40,"However, with the completion of three domestic airports and efforts already underway to create infrastructure facilities and products in Central, South and East, the lack of regional spread is expected to be addressed in the next few years."
17_83,"In 2011, electricity sector experienced negative growth mainly due to hydrological risk"
7_41,The value of Bhutan's exports to and imports from Thailand was Nu
9_32,"The high difference in tariff levels could negate Bhutan's comparative advantage of political stability, clean environment and availability of cheap and reliable power"
1_122,"Tracking school rankings, teacher outcomes and improving public service delivery will enhanced through Performance Management Systems (PMS)"
1_123,Private participation and schemes to encourage self-financed students particularly in tertiary education will be developed.
1_120,"The Ministry of Education in collaboration with Royal Education Council will focus on promoting innovation, creativity and enterprise in education through implementation of research recommendations."
1_121,"Improved service delivery and private participation: To ensure sustainability, school administration and governance system will be strengthened and private participation actively pursued"
1_126,Education
1_127,Construction of new schools based on need to increase space especially at the secondary levels;
1_124,5.1.5  Key Programmes
1_125,Some of the key programmes for the Eleventh Plan:
17_50,"This problem is exacerbated in the urban centers where surface drainage, grey water sullage from domestic households and uncontrolled seepage or overflow from septic tanks and pipes enter into the watercourses."
1_128,"Provision of minimum standard facilities, wherever required, to ensure a positive environment for teaching-learning process"
1_129,"These include facilities such as science labs, libraries, games and sports facilities, computers, ICT infrastructure, etc ;"
12_18,5.12.1 Current Situation
13_30,Housing: The sector is guided by the Housing Policy 2002
3_1,Development and management of human resources is an essential prerequisite for Bhutan's aspiration to be an ICT enabled knowledge based society
3_0,Human Resource Development & Management
3_3,"However, the quality of human resources particularly in professional and high skilled areas continues to be a constraining factor, both in the public and private sector"
3_2,"The high priority given to human resource development through investments in education, implementation of long and short-term trainings both in-country and ex-country and the various reforms in human resource management, particularly in the civil services, has to a great extent improved human resource situation"
3_5,The Eleventh Plan focus will be on creating a highly skilled and well qualified talent pool.
3_4,"As a result, dependency on foreign workers continues to be high."
3_7,5.3.1  Current Situation
3_6,"The main agencies responsible for HRD include the Ministry of Education, the Ministry of Labour and Human Resources, Royal University of Bhutan and the Royal Civil Service Commission."
3_9,"As of December 2012, there were a total of 24,275 civil servants, of which 559 were expatriates and 64 international volunteers"
3_8,"Due to small and nascent private sector, most job seekers prefer jobs in the civil service for better job security, career advancement and training & educational opportunities."
5_28,"Unless these issues are addressed in the Eleventh Plan, achieving food self-sufficiency goal in the Eleventh Plan will still remain a challenge."
5_29,Agriculture Environment and Challenges - Agriculture farming is characterized by steep geographic terrain
16_44,Capacity development for research and documentation on conservation and restoration measures will be carried out through trainings/workshops
7_111,The flagship programme to accelerate economic growth and achieve the objective of self-reliance will be the Rapid Investments in Selected Enterprises (RISE) programme
7_110,5.7.4  Strategies
7_113,"The selection of priority sectors will be based on three filters of i) employment generation, ii) revenues to the government, and iii) returns to the entrepreneurs"
7_112,"The Government, in consultation with the relevant stakeholders will identify 4-5 non-hydro priority sectors for end-to-end intervention in the Eleventh Plan"
7_115,"A detailed blue print of interventions will be developed with clear initiatives, time line, targets, resource requirements and persons responsible to deliver the initiatives"
7_114,"Tentatively, the sectors identified are tourism (to achieve higher yields per tourist as well as double the arrivals but spread throughout the country and throughout the calendar year), agro-processing (selected produce with high potential), construction (enhance the capacity of Bhutanese contractors to deliver quality and take on more complex projects), small and cottage industries (including cultural industries such as textiles, arts and crafts) and manufacturing (explore establishment of few large scale hydro-power intensive industries)."
7_117,"To facilitate private sector development, the government will facilitate the development of economic infrastructure such as industrial estates in Jigmeling in Gelephu, Dhamdum in Samtse, Motanga in Samdrup Jongkhar and Bondeyma in Mongar and establishment of dry ports in Phuentsholing."
7_116,The implementation of the programme will be rigorously monitored by the Cabinet and Committee of Secretaries and problem solving sessions facilitated to expedited smooth implementation of the programme.
7_119,5.7.5  Key Programmes
7_118,"The government will also review and address issues related to excise refund, access to finance particularly for cottage, small and medium industries, reduction in turn-around-time for Government to Business (G2B) services specially in terms of government clearances/ approvals, and development of capital markets."
17_75,"The 2002 water supply adequacy analysis carried out in 28 urban towns, as part of Water Resource Management Plan preparation, revealed that 11 towns faced water shortages and another seven more towns would face water constraints by 201364"
16_46,"To promote cultural industries, access to finance, product development, raw material banks, craft clusters/craft bazaars and business incubators will be facilitated."
17_73,"While at macro level the per capita water availability is high, at local levels access to water is a serious concern with several places facing water shortages"
17_72,"Non-consumptive demand, in the form of hydropower demand, is estimated to increase from 6,700 million m3 in 2002 to 26,900 million m3 in 202262."
17_71,"On the demand side, the gross consumptive demand is estimated to increase from 422 million m3 in 2002 to 541 million m3 in 2022"
17_70,"Bhutan has one of the world's highest per capita availability of water with long-term mean annual flow estimated at 73,000 million m3 per annum and the per capita water availability estimated at 100,000 m3"
4_25,Only 4.1 percent had either an undergraduate or Bachelors degree
4_24,"In terms of the level of education, 53.6 percent of those employed were illiterate with the next highest level being middle secondary school level dropouts at 11 percent"
4_27,"Creation of new jobs: During the next five years, approximately 120,000 jobs seekers will be entering the labour market"
4_26,This indicates either a poor synergy between the education system and manpower needs resulting in a lack of skilled manpower or a mismatch of potential employees and jobs available.
4_21,About 68.9 percent of those employed in the agriculture sector worked for more than 48 hours of which 46.1 percent reportedly work more hours to increase earnings indicating low income for those employed in the sector.
4_20,Women are particularly vulnerable as they comprise 27.6 percent in this category.
4_23,"10,000 or more."
4_22,Only 33 percent of those employed earned monthly incomes of Nu
7_78,All the mines in the country are operated using opencast mining technique and the current land coverage by mining activities is 0.033 percent of the total area of the country
4_29,"While this presents an opportunity of a large number of educated job seekers, creating jobs that meets the aspirations of these qualified youth will be a major challenge"
4_28,"Out of this, 60 percent will be those with education qualifications of Class X and higher"
10_28,Surface transport - Road safety is a major issue with number of vehicles increasing every year
16_23,"Interventions to set-up craft clusters based on regional comparative advantages, raw-material banks, design banks, product development and marketing are being undertaken by newly established Agency for Promotion of Indigenous Crafts."
7_77,The total mineral production ranges from 5000 metric tons to over a million metric tons annually
16_21,"The certification system, 'Made in Bhutan Seal', was launched in May 2012"
16_20,It has facilitated in creation of a viable market for rural artisans to market their products.
16_27,"Some of our local dialects, songs, dances, lozeys, festivals and rituals are in danger of extinction as there are very few people to keep these traditions alive"
